Date,Transactions,Items_Sold,Revenue,Avg_Transaction,Profit,Profit_Margin
2025-08-01,33,69.0,5795.0,175.6060606060606,1187.0,20.5
2025-08-02,48,170.0,10858.0,226.20833333333334,2188.0,20.2
2025-08-03,49,179.0,10254.0,209.26530612244898,2174.0,21.2
2025-08-04,22,32.0,1794.0,81.54545454545455,396.0,22.1
2025-08-05,34,47.0,3203.0,94.20588235294117,680.0,21.2
2025-08-06,28,52.0,3679.0,131.39285714285714,745.0,20.3
2025-08-07,27,57.0,4011.0,148.55555555555554,829.0,20.7
2025-08-08,38,81.0,5614.0,147.73684210526315,1093.0,19.5
2025-08-09,43,136.0,7484.0,174.04651162790697,1586.0,21.2
2025-08-10,44,182.0,11180.0,254.0909090909091,2316.0,20.7
2025-08-11,23,34.0,2126.0,92.43478260869566,426.0,20.0
2025-08-12,32,42.0,2691.0,84.09375,524.0,19.5
2025-08-13,40,80.0,4521.0,113.025,953.0,21.1
2025-08-14,36,87.0,4118.0,114.38888888888889,905.0,22.0
2025-08-15,31,60.0,4183.0,134.93548387096774,889.0,21.3
2025-08-16,60,211.0,13644.0,227.4,2841.0,20.8
2025-08-17,40,125.0,8034.0,200.85,1681.0,20.9
2025-08-18,22,30.0,2275.0,103.4090909090909,464.0,20.4
2025-08-19,34,51.0,2683.0,78.91176470588235,579.0,21.6
2025-08-20,29,62.0,4103.0,141.48275862068965,861.0,21.0
2025-08-21,31,60.0,3463.0,111.70967741935483,716.0,20.7
2025-08-22,39,79.0,5298.0,135.84615384615384,1094.0,20.6
2025-08-23,43,139.0,9654.0,224.51162790697674,2017.0,20.9
2025-08-24,43,186.0,11798.0,274.3720930232558,2408.0,20.4
2025-08-25,22,26.0,2025.0,92.04545454545455,415.0,20.5
2025-08-26,34,55.0,2629.0,77.32352941176471,558.0,21.2
2025-08-27,33,77.0,3651.0,110.63636363636364,777.0,21.3
2025-08-28,32,59.0,4431.0,138.46875,906.0,20.4
2025-08-29,42,88.0,5012.0,119.33333333333333,1045.0,20.8
2025-08-30,39,144.0,7391.0,189.51282051282053,1556.0,21.1
2025-08-31,44,145.0,9297.0,211.29545454545453,1882.0,20.2
2025-09-01,39,57.0,3319.0,85.1025641025641,675.0,20.3
2025-09-02,31,63.0,4295.0,138.5483870967742,901.0,21.0
2025-09-03,42,97.0,4262.0,101.47619047619048,943.0,22.1
2025-09-04,42,75.0,4740.0,112.85714285714286,984.0,20.8
2025-09-05,36,68.0,5552.0,154.22222222222223,1103.0,19.9
2025-09-06,41,154.0,9524.0,232.29268292682926,1948.0,20.5
2025-09-07,56,209.0,12172.0,217.35714285714286,2493.0,20.5
2025-09-08,33,45.0,3317.0,100.51515151515152,682.0,20.6
2025-09-09,26,54.0,4005.0,154.03846153846155,808.0,20.2
2025-09-10,36,68.0,4328.0,120.22222222222223,863.0,19.9
2025-09-11,39,77.0,5534.0,141.89743589743588,1138.0,20.6
2025-09-12,36,72.0,4542.0,126.16666666666667,908.0,20.0
2025-09-13,47,201.0,12119.0,257.8510638297872,2394.0,19.8
2025-09-14,38,154.0,6447.0,169.6578947368421,1363.0,21.1
2025-09-15,37,57.0,2928.0,79.13513513513513,614.0,21.0
2025-09-16,26,60.0,3714.0,142.84615384615384,779.0,21.0
2025-09-17,31,63.0,4526.0,146.0,870.0,19.2
2025-09-18,28,55.0,4290.0,153.21428571428572,883.0,20.6
2025-09-19,52,95.0,5284.0,101.61538461538461,1094.0,20.7
2025-09-20,47,198.0,13882.0,295.36170212765956,2917.0,21.0
2025-09-21,49,173.0,10140.0,206.9387755102041,2118.0,20.9
2025-09-22,35,42.0,2775.0,79.28571428571429,581.0,20.9
2025-09-23,39,93.0,6594.0,169.07692307692307,1313.0,19.9
2025-09-24,44,83.0,6728.0,152.9090909090909,1393.0,20.7
2025-09-25,34,75.0,3932.0,115.6470588235294,858.0,21.8
2025-09-26,50,94.0,5096.0,101.92,1086.0,21.3
2025-09-27,47,167.0,9188.0,195.48936170212767,1867.0,20.3
2025-09-28,47,200.0,12036.0,256.0851063829787,2500.0,20.8
2025-09-29,35,46.0,3507.0,100.2,713.0,20.3
2025-09-30,38,76.0,5348.0,140.73684210526315,1113.0,20.8
2025-10-01,40,78.0,5156.0,128.9,1090.0,21.1
2025-10-02,47,84.0,5628.0,119.74468085106383,1161.0,20.6
2025-10-03,52,103.0,6477.0,124.5576923076923,1369.0,21.1
2025-10-04,55,187.0,12704.0,230.98181818181817,2585.0,20.3
2025-10-05,59,204.0,11889.0,201.5084745762712,2450.0,20.6
2025-10-06,31,59.0,2983.0,96.2258064516129,636.0,21.3
2025-10-07,39,75.0,4051.0,103.87179487179488,843.0,20.8
2025-10-08,46,78.0,5904.0,128.34782608695653,1201.0,20.3
2025-10-09,37,70.0,4733.0,127.91891891891892,982.0,20.7
2025-10-10,55,102.0,6202.0,112.76363636363637,1312.0,21.2
2025-10-11,56,214.0,12271.0,219.125,2513.0,20.5
2025-10-12,46,202.0,12577.0,273.4130434782609,2583.0,20.5
2025-10-13,25,54.0,2628.0,105.12,560.0,21.3
2025-10-14,30,58.0,2995.0,99.83333333333333,647.0,21.6
2025-10-15,42,81.0,5278.0,125.66666666666667,1077.0,20.4
2025-10-16,43,82.0,5716.0,132.93023255813952,1160.0,20.3
2025-10-17,34,58.0,4876.0,143.41176470588235,991.0,20.3
2025-10-18,43,151.0,9318.0,216.69767441860466,1915.0,20.6
